DateTime,Open,High,Low,Close,Volume
2023-05-25 09:30:00,370.00,371.00,369.50,370.50,35000
2023-05-25 09:31:00,370.50,370.70,368.00,368.20,35000
2023-05-25 09:32:00,368.20,374.50,368.00,374.00,35000
2023-05-25 09:33:00,374.00,380.00,373.80,379.80,35000
2023-05-25 09:34:00,379.80,380.00,379.50,379.90,35000
2023-05-25 09:35:00,379.90,380.00,379.65,379.85,20000
2023-05-25 09:36:00,379.85,380.31,379.80,380.21,65000
2023-05-25 09:37:00,380.13,380.53,379.93,380.28,12000
2023-05-25 09:38:00,380.20,380.60,380.00,380.35,12000
2023-05-25 09:39:00,380.28,380.68,380.08,380.43,12000
2023-05-25 09:40:00,380.36,380.76,380.16,380.51,12000
2023-05-25 09:41:00,380.44,380.84,380.24,380.59,12000
2023-05-25 09:42:00,380.51,380.91,380.31,380.66,12000
2023-05-25 09:43:00,380.59,380.99,380.39,380.74,12000
2023-05-25 09:44:00,380.67,381.07,380.47,380.82,12000
2023-05-25 09:45:00,380.74,381.14,380.54,380.89,12000
2023-05-25 09:46:00,380.82,381.22,380.62,380.97,12000
2023-05-25 09:47:00,380.90,381.30,380.70,381.05,12000
2023-05-25 09:48:00,380.98,381.38,380.78,381.12,12000
2023-05-25 09:49:00,381.05,381.45,380.85,381.20,12000
2023-05-25 09:50:00,381.13,381.53,380.93,381.28,12000
2023-05-25 09:51:00,381.21,381.61,381.01,381.36,12000
2023-05-25 09:52:00,381.28,381.68,381.08,381.43,12000
2023-05-25 09:53:00,381.36,381.76,381.16,381.51,12000
2023-05-25 09:54:00,381.44,381.84,381.24,381.59,12000
2023-05-25 09:55:00,381.51,381.91,381.31,381.66,12000
2023-05-25 09:56:00,381.59,381.99,381.39,381.74,12000
2023-05-25 09:57:00,381.67,382.07,381.47,381.82,12000
2023-05-25 09:58:00,381.75,382.15,381.55,381.90,12000
2023-05-25 09:59:00,381.82,382.22,381.62,381.97,12000
2023-05-25 10:00:00,381.90,382.30,381.70,382.05,12000
2023-05-25 10:01:00,381.98,382.38,381.78,382.13,12000
2023-05-25 10:02:00,382.05,382.45,381.85,382.20,12000
2023-05-25 10:03:00,382.13,382.53,381.93,382.28,12000
2023-05-25 10:04:00,382.21,382.61,382.01,382.36,12000
2023-05-25 10:05:00,382.29,382.69,382.09,382.44,12000
