DateTime,Open,High,Low,Close,Volume
2020-07-31 09:30:00,380.00,381.00,379.50,380.50,35000
2020-07-31 09:31:00,380.50,380.70,379.50,379.70,35000
2020-07-31 09:32:00,379.70,382.50,379.50,382.00,35000
2020-07-31 09:33:00,382.00,384.50,381.80,384.30,35000
2020-07-31 09:34:00,384.30,384.50,384.00,384.40,35000
2020-07-31 09:35:00,384.40,384.50,384.15,384.35,20000
2020-07-31 09:36:00,384.35,384.81,384.30,384.71,65000
2020-07-31 09:37:00,384.76,385.16,384.56,384.91,12000
2020-07-31 09:38:00,384.97,385.37,384.77,385.12,12000
2020-07-31 09:39:00,385.18,385.58,384.98,385.33,12000
2020-07-31 09:40:00,385.39,385.79,385.19,385.54,12000
2020-07-31 09:41:00,385.60,386.00,385.40,385.75,12000
2020-07-31 09:42:00,385.81,386.21,385.61,385.96,12000
2020-07-31 09:43:00,386.02,386.42,385.82,386.17,12000
2020-07-31 09:44:00,386.23,386.63,386.03,386.38,12000
2020-07-31 09:45:00,386.44,386.84,386.24,386.59,12000
2020-07-31 09:46:00,386.65,387.05,386.45,386.80,12000
2020-07-31 09:47:00,386.86,387.26,386.66,387.01,12000
2020-07-31 09:48:00,387.07,387.47,386.87,387.22,12000
2020-07-31 09:49:00,387.28,387.68,387.08,387.43,12000
2020-07-31 09:50:00,387.49,387.89,387.29,387.64,12000
2020-07-31 09:51:00,387.70,388.10,387.50,387.85,12000
2020-07-31 09:52:00,387.91,388.31,387.71,388.06,12000
2020-07-31 09:53:00,388.12,388.52,387.92,388.27,12000
2020-07-31 09:54:00,388.33,388.73,388.13,388.48,12000
2020-07-31 09:55:00,388.54,388.94,388.34,388.69,12000
2020-07-31 09:56:00,388.75,389.15,388.55,388.90,12000
2020-07-31 09:57:00,388.96,389.36,388.76,389.11,12000
2020-07-31 09:58:00,389.17,389.57,388.97,389.32,12000
2020-07-31 09:59:00,389.38,389.78,389.18,389.53,12000
2020-07-31 10:00:00,389.59,389.99,389.39,389.74,12000
2020-07-31 10:01:00,389.80,390.20,389.60,389.95,12000
2020-07-31 10:02:00,390.01,390.41,389.81,390.16,12000
2020-07-31 10:03:00,390.22,390.62,390.02,390.37,12000
2020-07-31 10:04:00,390.43,390.83,390.23,390.58,12000
2020-07-31 10:05:00,390.64,391.04,390.44,390.79,12000
2020-07-31 10:06:00,390.85,391.25,390.65,391.00,12000
2020-07-31 10:07:00,391.06,391.46,390.86,391.21,12000
2020-07-31 10:08:00,391.27,391.67,391.07,391.42,12000
2020-07-31 10:09:00,391.48,391.88,391.28,391.63,12000
2020-07-31 10:10:00,391.69,392.09,391.49,391.84,12000
2020-07-31 10:11:00,391.90,392.30,391.70,392.05,12000
2020-07-31 10:12:00,392.11,392.51,391.91,392.26,12000
2020-07-31 10:13:00,392.32,392.72,392.12,392.47,12000
2020-07-31 10:14:00,392.53,392.93,392.33,392.68,12000
2020-07-31 10:15:00,392.74,393.14,392.54,392.89,12000
2020-07-31 10:16:00,392.95,393.35,392.75,393.10,12000
2020-07-31 10:17:00,393.16,393.56,392.96,393.31,12000
2020-07-31 10:18:00,393.37,393.77,393.17,393.52,12000
2020-07-31 10:19:00,393.58,393.98,393.38,393.73,12000
2020-07-31 10:20:00,393.79,394.19,393.59,393.94,12000
2020-07-31 10:21:00,394.00,394.40,393.80,394.15,12000
2020-07-31 10:22:00,394.21,394.61,394.01,394.36,12000
2020-07-31 10:23:00,394.42,394.82,394.22,394.57,12000
2020-07-31 10:24:00,394.62,395.02,394.43,394.77,12000
2020-07-31 10:25:00,394.83,395.23,394.63,394.98,12000
2020-07-31 10:26:00,395.04,395.44,394.84,395.19,12000
2020-07-31 10:27:00,395.25,395.65,395.05,395.40,12000
2020-07-31 10:28:00,395.46,395.86,395.26,395.61,12000
2020-07-31 10:29:00,395.67,396.07,395.47,395.82,12000
2020-07-31 10:30:00,395.88,396.28,395.68,396.03,12000
2020-07-31 10:31:00,396.09,396.49,395.89,396.24,12000
2020-07-31 10:32:00,396.30,396.70,396.10,396.45,12000
